Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment
14082,B0045XE32E,A3SLC8F6VIWXIR,"John T. Horner ""jthorner""",0,1,4,1299024000,"Imported, Organic, Non-corn based treats. Over the top?","First I must admit that I am not normally an only the very best will do for our pets kind of a person. I tend more towards middle of the road products for our pets, not the cheapest stuff, but I also don't seek out the most expensive. Thanks to Amazon's Vine program I received a bag of these to test out for free in return for writing a review. Judging from the product page, I'm not the only one :).<br /><br />When I read the ingredients list I was tempted to put a few in a pot of water and make stew for the family dinner. Organic barley, lamb and other goodies. Sounds good to me! But, I controlled myself and didn't try a taste.  When I gave one to the dog she absolutely loved it!  But, she loves to eat just about anything.<br /><br />As a matter of personal choice, these premium treats are just a bit of a step to far for me when it comes to pet food. I realize that saying so will probably earn me some ""not helpful"" votes. I can live with that.<br /><br />If you want only the very best products for your dog and your dog likes these, then by all means go for it! Just try not to think about how much bunker fuel is being burned to ship dog treats from New Zealand to North America.",Positive
209709,B000Q7535Y,A1Q20GBRLS2H5G,JGal,1,1,3,1345939200,"Bland, Snickerdoodle, Tastes like flour","I found these to be flavor-free.  They tasted like white flour, the snickerdoodle ones I bought had hardly any cinnamon.  True disappointment, my kids will not eat them and I bought a whole box. Tastes like sweet, baked flour and water.<br /><br />However the chocolate chip ones are good.",Neutral
182906,B0018AXEFY,A2GREAOK4F5625,Brodie Anderson,0,0,3,1349740800,its different...,"I'm not a huge fan of the aftertaste that most sugar-free candies leave, but these ones are an exception. Same great flavor as the sugared candy, but without the calories. I put them in a candy dish and nobody knows the difference, but they're great because any guest can eat them whether they are diabetic or not.",Neutral
5405,B00622CYVS,ASEAKR59G0SLT,"Reviewer ""Jason""",0,0,2,1329782400,Product is good; Amazon fulfillment is poor,"Amazon normally does a fantastic job getting product out to me in great shape and on-time, but, I guess this is one product that they can not.<br /><br />Several jars had compromised seals and so we had to immediately throw them out.  I wish I could order this by mail but it seems this is one item we'll need to go to the grocery store for.",Negative
469079,B000HDOPHE,A2JZLS569X4XPH,Daniel Tanner,0,0,3,1342483200,fish,So far very good except for 2 tins that when opened were somewhat rancid and had a strong smell. Maybe from shipping damage. The others are fine and I will buy again.,Neutral
151973,B002UV50FC,A1QZXEA5FDBQKN,R. Flanagan,0,0,3,1349654400,too sweet to enjoy,"Way way too sweet.... had to return the item due to excessively high sugar content.  If available without all the unnecessary sugar added, I would be interested in purchasing again.",Neutral
359902,B0030HO67I,AIYWNICKBRTW5,Prudence,3,4,1,1321574400,If you have a small apt or home do not buy this!,"Got this litter because my cat was having a respiratory problem.<br /><br />As soon as I poured this into our 2 Cat boxes, my home became inundated with a strong chemical smell.<br />I have an aprox. 850sf apt. and it permeated everything in my home.  I got rid of it this a.m. and I can still smell it, even on my clothes!<br />This litter is also made in China which doesn't exactly have a great track record with our pets.<br />I have since found a benign safe litter- Feline Fresh- which smells of pine and hopefully won't hurt my cats or us.<br />It also doesn't cut down any trees in the process.<br /> It's a win-win!  And it is made in the USA.<br /> Update: Feline Fresh is too dusty!<br /> Have switched to Feline Pine.<br /><br />The bottom line:  Just sticking with the pine litter, my cat has stopped coughing!!!  Yea, pine!!!!!",Negative
490139,B000FIZW50,AVG17M368V6ME,chubby,0,1,1,1341187200,I do not eat xylitol anymore,"After I read that Xylitol is highly toxic to rats I will never eat it again.  People have yet to prove with real studies, that is actually does more good then harm...opt for Stevia or honey if you need sweets.",Negative
190288,B004Q3MB4U,A11EXABIXSKUFD,urNid10t,0,0,3,1323734400,Skinny Bully sticks,"These bully sticks aren't as fat as previous ones that I've purchased. Our medium-sized dog chews through one in about five minutes. They don't provide much benefit as a dentifrice, but they are good for a doggy dance and a few tricks.",Neutral
452381,B001ELL68Y,A18TD63LUDC3P2,"R. Holland ""Chatmandu""",0,0,4,1277942400,Kona is good,I have several cups of coffee every day of which at least one is Kona.  The Tully's Kona brand is pretty good.,Positive
490701,B00142I7BM,ALVD5VQ4N5GIZ,Claudia,1,2,1,1315353600,DISGUSTING,"I got these for my daughters to try..... They ate a piece of them and, literally, spit them out at me. So, my husband and I tried a piece and it was the most awful taste and texture I have ever had.... no wonder my kids spit it at me!  Don't waste your money, there are lots of better dried fruit options out there!!!",Negative
504905,B0019O5Z0Q,A38Y41K3XBMCI2,"Martha Washington ""Gloria Koehn""",1,2,3,1299715200,My dogs are too picky....,"Our two pomeranians will not eat them - - guess they have too many choices, nothing is wrong with them - packaged nicely, fast shipping.",Neutral
51368,B0014UAHQM,A3POAWC2JPQQQP,me,1,1,1,1334793600,tastes like paper!,"I'm usually impressed with this brand's stevia products, but not with these individually packed ones. These don't taste sweet in the slightest; tastes more like paper! Also, the ones I got were packed in a white wrapper, not blue like the picture shows.",Negative
442189,B000VMDB7Q,AISEX5WTT7GT7,Strontium90,1,3,1,1311120000,"I did not like them, but lots did","Lots of people liked these things and I love their crackers but I found these cookies to be disgusting. That is my opinion. I thought they were dry, stale, and unpleasant tasting. I don't think this batch was compromised as they were crispy and broke cleanly when I bit into them. Could be they are just not to be for my liking.",Negative
97350,B000FBOAP0,A2G4E53Z194Y3E,Dr. Simpson,1,1,3,1315180800,Uneven production quality,"I have purchased a carton containing 12 boxes.<br /><br />At least half the boxes had a few crumbled thins in them and 2 of them had the taste of rancid butter.<br /><br />The rest were up to my expectations; but, overall I was disappointed.",Neutral
252340,B000GG5N9G,ARXLHOKV7FKU4,"T. lopopolo ""fanoffilmnoir""",0,0,5,1239926400,old things may be better?,"To avoid all the chemicals and sugar in all the newer sweeteners like Splenda...I was advised to go back to Saccharin.... it's very very sweet...a half tablet, and they are small, is enough for one cup of tea.",Positive
92512,B001EQ5EKU,A1FP5ZLSKR07SU,G. Burnick,0,0,5,1167696000,Excellent Sesame Oil,"If you like a tasty oil, sesame oil is one to try. And this is a good flavorful sesame oil. Perfect for Asian cooking and for 'tweaking' traditional foods that can use a touch more flavor.",Positive
255826,B0026KJPYE,A18NG9I9MT2V8I,"Emm ""Emm""",0,0,5,1281830400,"Great for 3 year old and mommy, too!","My three year old has started the picky eater phase.... she used to eat all of the lovely fruits and veggies I put in front of her.  Not anymore.  But she LOVES this and can take it with her in the car, the stroller, in the bike trailer and no mess.  Plus, it is TASTY --- much yummier than a pudding cup or something dastardly like that and REAL FRUIT!  Finally a snack truce!",Positive
295078,B004WZ4KK0,A19SKPB9MCXGGH,eugeniahoward,0,0,5,1351209600,The best Tassimo coffee,"I love all the coffees I have tried, but the Gevalia Dark Italian Roast is the best by far.  I would recommend it to serious coffee drinkers.",Positive
295749,B003WLC4VC,A25NKS3M15FM91,Terry,0,0,3,1314662400,"Decent granola bar, but the packaging is a bit misleading","When I first opened the box I was surprised to find 5 packages of granola bars, each with 2 bars each, so a ""10-pack"" has 5 packages with 2 granola bars in each package (I never noticed it was normal to do that with granola bars), hence the serving size is 2 bars. The price for each packet is about the same as that of a normal clif bar, so I don't know if it's really worth it to me. You get about 60% more mass with a clif bar than with this for the same price.<br /><br />That being said, they taste decent and taste good broken into pieces with peanut butter and nutella.",Neutral
63721,B002IEZJMA,A3CN9CCJUNIPKT,DJ Joe Sixpack,0,2,3,1339113600,Illy's canned coffee,"-------------------------------------------------------<br />Illy Issimo Coffee Drink,<br />Caffe, 6.8-Ounce Can<br />-------------------------------------------------------<br />As noted elsewhere, I'm a fan of Illy coffee, an Italian brand best known for their vacuum-sealed whole bean and ground coffee varieties. I try to keep a can or two around in case civilization breaks down and I either want a little morning jolt before the vampires attack, or if need something to trade with the survivalists and atomic mutants.<br /><br />This aluminum-clad product is a pre-made, sweetened coffee drink -- unlike the similar Illy capuccino drink, this one does not contain milk, just coffee, some sugar and a few chemicals. It has a pretty basic taste - a little metallic, actually, with the combination of the can and the white sugar. I liked their other flavor better; this one seemed uninspired, although I suppose if I had added cream, it might have perked up a bit. Guess I'll stick to their brew-it-yourself beans instead. (Side note: Kind of weird that the drink is licensed to (or owned by) Coca-Cola, from Italy, and manufactured in Denmark. But hey, that's globalism in action!)",Neutral
429185,B000LLKCV0,A3T4ALYYIGQLFQ,D. Star,0,0,5,1269129600,Excellent Hot Sauce,"For those that can handle Tabasco, give Sunshine a try.  It is bursting with flavor and has adequate heat.  If I want amp something up for heat I add Dave's Temporary Insanity Extract Sauce to a flavorful sauce like Sunshine.  Yucatan Sunshine is my overall favorite hot sauce, but sadly I can't buy it local anymore!",Positive
21571,B002QWP89S,A29MUI0NWN37UT,B. Kay Thompson,2,11,2,1227484800,less than I ordered,"The ad says 30 regular greenies, but the package I received says<br />27 greenies.",Negative
192590,B006GA666U,AA9XJMX10TTQZ,L. Summer,2,2,5,1250726400,Love this Coffee - BAM!,"This coffee is awesome - a great way to start your day!  Very close to a Starbucks or a 2nd Cup (Montreal, CD) coffee, I enjoy my Emeril Big Easy Bold coffee on my drive to work everyday.  It's so good, makes me want to get a Keurig system for at work so I can enjoy more during the day.<br /><br />Also, I highly suggest joining the automatic order/delivery service Amazon offers.  You pick what you want delivered on a recurring basis, and BAM, there it is, at your door just when you need it.  And the prices are great.",Positive
527139,B002FJM9SU,A3JYU128SZCBDZ,Amanda Scoggins,0,0,3,1315008000,wish I could like this!,"Well my little one was exclusively breastfed until 4 1/2 months when we started having supply/weight gain issues. Heartbroken we started supplementing and she was doing fine, poos were ok just smelly lol! Then when I ran out of the sample the pedi gave me I wanted to go organic if only to make myself feel better and bit more in control, then she had the hardest most uncomfortable stool. I felt so awful! I will have to switch! I may try earth's best to see if that works. If this works for you great, but just be aware it seems some babies have a hard time digesting this. i wish she didn't need corn syrup in her formula but maybe she does :(",Neutral
547914,B002EX76V2,A3KOGZCPT16RE2,J. Pauly III,0,0,3,1298764800,OK,This is not a bad coffee.  It is just a light roast that doesnt have as much flavor as I like.  For those who dont like there coffee very bold this is perfect.,Neutral
180363,B002AQP5MK,A5AX7DXCFSYVM,"Alicia D ""Ali""",1,1,5,1261785600,JUST LIKE THE REAL THING! AWESOME!,"I first saw these GF brownies here on Amazon. I was skeptical and did not want to buy a whole case and end up not liking them. I found them in my local grocery store (almost $5 per box) and got a box. The first time I made them was for just my husband and I. He did NOT know they were gluten free and talked about how GREAT they were! Then I made them when we had people over......AFTER they ate them and complimented them I let them know they were gluten free.....ALL were shocked. These are moist and so good. Not gritty, grainy or the other weird textures you get in some other brands. There are little chocolate chips in the mix that when baked make little pockets of chocolate explosion. I am verrrrrry impressed with this and will keep buying! ---- I also mixed in nuts and that was GREAT! One time I decided to up the chocolate and added some Enjoy Life allergen free choco chips......that was super good! But not really needed as these are yummy enough on their own!",Positive
374963,B004CSW9BO,A374N6FTIT1A7N,Cilantron,0,1,3,1322870400,Unpredictable,"Since Neuro Bliss screwed up their formula, I tried this out as a replacement.  One man's meat is another man's poison, so I suppose you can never tell if something like this will work for you unless you try it.  In my case, though, I've been getting different results.  The first 3 or 4 times I tried it, I almost fell asleep (so, as it says on the can, don't drink before driving).  Other times, it would just relax me.  Once or twice, it even made me agitated, and a few times it barely seemed to have any effect at all.  All these attempts were usually a couple of days and sometimes a couple of weeks apart, so I don't think I'm building up a tolerance to it.  A 12 ounce can contains 43.5 grams of pure cane sugar, so you probably don't want to drink it before you go to bed.",Neutral
196452,B004JPXISI,A36IIGM19DXP9X,Melissa,0,0,3,1321228800,Very Strong,I ended up only being able to use a portion of these packets because they are so strong.  So strong that I exchanged them for something else.  I'll stick with Starbucks making my drinks for me.,Neutral
451584,B003SE1H2K,A3J4ELNYV3ROMC,"Patti ""Patti""",1,1,2,1315785600,Dogs won't eat it,"I have 3 dogs, 2 picky Boston Terriers and a Boxer who will eat ANYTHING (bless his heart, he even ate his kibble when I put a tbs of vinegar in it after reading it was good for combatting yeast infections in their ears...it didn't help, but he ate it) and they ALL left it sit until I threw it away the next day. I even tried mixing it with cooked meat and still no go.<br /><br /> I love the idea of it (though there seemed to be very little actual meat in it) but if the dogs won't eat it, all the money and good intentions in the world mean nothing. This is the second dried/dehydrated food I've tried, and both had more of an herb smell than anything (rosemary, etc) which my dogs seem to find a turn off. If you do decide to try this, buy a small bag (silly me bought the 10 lb) in case your dogs don't care for it, like mine.",Negative
110916,B0085YB426,A3V2EGD1YNEOJT,E.P. phone home,0,0,2,1299456000,From Flavorful Favorite to Weak Disappointment,"I would have given this a 5-star review in the past but my last shipment (October 2010) was extremely weak and didn't taste anything like it used to.  The k-cups didn't seem to have very much coffee in them.  They seemed very light when shaken as compared with the past.  I would also like to note that I have noticed this same problem on quite a few of the k-cups.  Also, they all taste very similar and not a good taste.  I had read that Green Mountain may have taken over some of the k-cup business for Timothy's, Caribou, etc. and maybe they have changed something.  For now, I will buy from BBB when they have a coupon and I can check the freshness code on the package.<br /><br />But, really I have gone back to using a french press which really doesn't take that long to make and has superior flavor.",Negative
382859,B002T0IHPO,AKGRTGZRH5TGB,Vespere,1,1,3,1332288000,Redbull?,"Someone said that it tasted like a Sprite. No it doesn't to me. Not even close in my opinion. It's a Energy Drink. It tastes more like Redbull but with a less tart flavor. I couldn't taste any after taste so that was a plus. Even if it does have Splenda in it, I don't even taste that and I don't like Splenda. It isn't my favorite flavor as I am not a fan of Redbull, but if you do then this syrup just may be for you.<br /><br />*EDIT* I just realized when I wrote that it does not taste like a Sprite the person was commenting about the Lemon Lime syrup. I apologize about that.",Neutral
443906,B0034EDM2W,A1B8NEQYN1GLKO,"Victoria S. Woeste ""historian""",2,8,2,1322352000,Eat at your own risk,"Kind bars taste great and pack a nutritional punch, but they pack another kind of punch as well.  On October 10, I bit into an almond/fruit bar and broke a front crown.  What made it worse (and more expensive) is that I was en route from Chicago to San Francisco at the time so the accident made it imperative to seek emergency dental care for a temporary crown in SF and then have the permanent crown made upon my return home.  Total sticker price for that Kind bar:  $1665, not counting the cost of the bar itself.  I called Kind's corporate headquarters in New York and was referred to its insurance company, Chubb, which declined to assist me with any of my bills on the grounds that the company was not negligent.  That's a matter of interpretation, I think, but rather than pursue silly litigation that would cost more than I've already spent, I think I'll just do my civic duty and warn Kind's buyers in the most public way I can think of to beware when eating these bars.  They're delicious, but they can break teeth.  Let the Kind eater beware:  caveat emptor, caveat vore.",Negative
77576,B001LG940E,A1LHAXBM5GBJS2,Scooter McGavin,0,0,3,1237248000,Not as Good as Kiwi Berry,"This is the second Switch drink I have tried and the Kiwi Berry is much better than the Black Cherry which basically tastes like carbonated water with a hint of cherry.<br /><br />Much like the kiwi berry, my main drawback is the can as the tall thin can is a little too small and regular soda cans that are shorter and thicker and stream out better than the taller, thinner ones like Switch.",Neutral
391889,B000CQBZPG,A1KKGUI8WSEBZ4,N. Pierre,0,0,5,1166140800,"Totally terrific tea, truly.","I love this tea. I love the smooth feel of the individually sealed envelopes, I love the red of the box, I love the fragrance as it steeps, and I REALLY love the taste. It is just amazingly good, definitely worth the stained teeth.<br /><br />Occasionally I will warm up some milk in my mug (filled about halfway, I'd say) and let the teabag steep while the water is getting hot. Once I take the teabag out I just add some sugar and am ready to go.<br /><br />If you love tea, if you love gently but wonderfully spiced foods - try this. I am very glad that I found it.",Positive
459881,B001M1EQ60,A25UTZ2I4XPDGH,CH,5,21,1,1282694400,NOT ORGANIC!,"From Manitoba Harvest: Cross contamination can occur in pesticide free (non organic grown seed) as wind blow or sharing of trucks, equipment or storage bins can occur. For peace of mind buy certified organic as farmers pay attention to detail, don't share equipment or bins, and are monitored strictly so they are paid a higher prices per pound. There's a difference in what kind of fertilizer is used on the land. Our organic seeds come from certified organic land which uses alfalfa as fertilizer, while our pesticide-free seed farmers have the option of using a synthetic topical on the soil, very much the same as liquid plant food you can buy for your house. This synthetic topical is man-made and not organic, which is why our Pesticide-Free product line cannot be certified organic.<br /><br />Also the tubs are gigantic which makes storing a pain. I've gotten a couple of tubs that needed to be cut open because it wasn't perforated and they couldn't be resealed which also was a problem because the product couldn't stay fresh. They need to stick with the resealable bags and jars rather than these tubs. Cheap is not always worth it that's for sure. I'll stick to true organic in bags that take up little space.",Negative
479875,B001E5E2BS,A2PL7A9S8VD3M6,"SB ""SB""",4,9,2,1270857600,Poor packaging,This was delivered a complete mess.  I left feedback for the supplier and never heard a word from them.  Two containers were smashed in shipping and completely covered the entire shipment of six.  Shipping box way too small to protect items.  I will not order from them again.,Negative
253717,B000I6RAI6,A1AOCK760MM0RB,"Jean-Luc ""Grove""",0,0,3,1302480000,"I like banana, but not necessarily like this...","I blend together a decaf Columbian coffee with caffeinated, flavored one.  In the past it has been Hazelnut or French Vanilla, but not of this brand.  I saw this particular one and thought I'd give it a go, especially since I love banana nut bread.  This is one instance where you can take flavored coffee to far.  Coffee, if flavored, should take on the smells and tastes of chocolate and similar flavors.<br /><br />I will be finishing off the order, but I won't be purchasing this flavor again.",Neutral
446426,B0009F3QLG,A15VSRU2076BWO,Mbeck,1,1,3,1340064000,"OK, too peppery!","The tea overall is good, but WAY too much pepper flavor for me.  It's got a real bite! I'll look for something with less pepper taste next time.",Neutral
2544,B000G7UDPY,A392JXFKJ5GG17,Donna G. Spencer,0,1,1,1266019200,Bad tasting soup,"This is one of the worse tasting soups I've ever eaten. I hated it, and now I have a full case.  It tastes bitter to me, and my husband wouldn't even try it.  Only my cat was trying to reach it on the counter!",Negative
176955,B002YLG8QS,A3QMBOLS45ZV25,Robert Danner,7,7,1,1286582400,bobd,"Dont be fooled.  This is only a 16 oz container, but by the looks of the picture it appears to be a gallon.  With that being said, this stuff has absolutly NO TASTE.  Dont waste your money on this junk.  The best flavor I have been able to find is the stuff from Wabash Family Farms, Butter Flavor Topping in the yellow Gallon size container.",Negative
16531,B003VZCZ0O,A2O6HZ2B9YSRXR,Indiana Customer,0,0,5,1319068800,my favorite cereal at a great price with subscribe and save.,"I am set on my favorite cereal now for as long as Amazon offers the subscribe and save deal, can't beat that.  I used to not eat Lucky Charms that often because my local grocery stores charge$6 a box for it.  So I get 3 boxes (same size) for almost the price of one), not sure how Amazon does it, but I love Amazon.",Positive
355075,B004VBC0NE,AUPU3ZI2D8QU3,N. Rogers,15,16,5,1313366400,Mastered it!,"My cat enjoys feeding balls, and my dog loves his big Kong Wobbler so I decided to see if Nugget could manage this toy as a food dispenser. He is very interested in it and periodically bats at it to see if food will come out, but so far he hasn't mastered the necessary technique. We show him how it works by pulling on the attached attractant at the top to spill food out for him. That always gets his interest, but he just hasn't figured it out for himself yet. We haven't given up and are still hopeful that a light will suddenly come on. The concept is fine and the interest is there, but the motivation may not be high enough for a cat. I like the idea of my animals ""working"" for their dinner because it adds interest to their lives. It's what they are meant to do. We will keep trying with this toy and I'll update this review if we are successful. However, at least for my cat who is used to feeding toys and clicker training, this toy requires input from the human(s) in the family. That's not a bad thing. It's too easy to put the food in a bowl and walk away. Interaction is something we should encourage with our animals and the Kong Cat Wobbler requires that in our situation so far.<br /><br />(UPDATE) Nugget has mastered the Cat Wobbler at last and loves it! This took several months with us helping him spill food from it. At some point recently , he got the idea that food would come out if he just pushed it around enough. He uses the plume to pull it over. I love this toy for him because it is a real challenge. Nugget has cerebellar hypoplasia with moderate motor problems. He cannot jump or climb vertically, and he has an uneven gait. For him, any new skill or accomplishment builds confidence and makes him happy. I give him the Cat Wobbler with pellets (not filled because it would be too much food for him) several times a week when we go to bed. I hear him working with it throughout the night; he has emptied it by morning. It was worth the time showing him how to use it because it gives him something interesting to do for several hours at a time.",Positive
368368,B001SIY3O2,A1L9O8FL2REQTE,"Mark K. Wickersham ""Wick""",0,0,5,1292803200,Wish They Were in China,"I live in China, and I am unable to find anything made by Jack Link's here. I am able to buy different beef jerky products here, but they just don't taste the same. Fortunately my mother-in-law and wife gift me with Jack Link's beef jerky on a regular basis. Jack Link's uses premium cuts of meat that are seasoned and smoked in a way that you will find to be delicious. Once you open the bag, be sure to put it in the fridge unless you want your beef jerky to grow some white fuzz. An opened bag of beef jerky that is refrigerated can last for months. I also recommend Jack Link's teriyaki, peppered, sweet & hot, hickory smoked, and steakhouse recipes.",Positive
287331,B003PXY0XC,A3NQU1649SH0Q4,"Allen Smalling ""Constant Reader,""",0,0,5,1346889600,Delectable,"These little treats, the size and shape of regular M&M's from arch-rival candymaker Mars, have been going in and out of style since their introduction over thirty years ago.  A visual ""product placement"" in the 1982 movie E.T. gave them quite a boost, but several years ago I couldn't find any at my usual big box.  Pity.  But they are back, and they are still one-of-a-kind.  The taste is similar but not identical to Reese's Peanut Butter Cups (a little sweeter and more 'buttery' to indulge a metaphor, but less peanut-y or salty).  Like M&M's, the candy is encased in hard shells; unlike M&M's they come in only three colors, orange, yellow and dark brown. I was stunned to see that the independent vendor from whom they are currently available wants the product price just to ship them (so my five stars are NOT for the current online price!).  But it should be fairly easy to price-compare.",Positive
355426,B007PA33KM,ALDMJXA99NXEB,Vincent Prezioso,2,2,1,1295222400,Truly Disappointing. Product Changed. Not for the better!,"We have been buying Caribou Blend K-cups for a couple of years. It is a fine medium blend that we, and everyone that we have served it to, loves. We usually order it in larger quantities to try and save some money since we go through it fairly quickly. The last order we placed for 2 x 80 boxes was fulfilled with the K-cups with green color labels (the older labels were orange around the edges). The taste of this new k-cup can only be described as vile and has nothing to do with the former product. It is not drinkable. We have written to Caribou and have been waiting for a response, but nothing yet (I will update if I hear anything). DO NOT BUY this product if you have used the older product with he orange color on the label and liked it. You will not get the same thing and this coffee is truly terrible!<br /><br />Deserves 0 Stars...<br /><br />Update - a note from Caribou Corporate:<br /><br />Thank you for taking the time to contact us.<br /><br />We certainly apologize for any confusion. Recently the packaging for Caribou Blend K Cups did change. Previously the regular blend had an orange band and the decaf had a green band. The new labels the regular is a green band and the decaf is an orange band.<br /><br />The coffee itself has not changed, simply the label. There are two factors that might be involved in the change you taste. The change in taste is affected by the time that has lapsed between roasting the coffee beans and brewing them...freshness. Also, coffee is an agricultural crop that varies with weather and other environmental factors. Our Roastmasters put in a lot of time and attention to provide a consistency when roasting the coffee beans.<br /><br />We do apologize for any confusion and please let us know if there is anything else we can do for you.<br /><br />Sincerely,<br /><br />Linda<br /><br />Caribou Coffee Customer Relations<br /><br />The coffee is Dramatically different, but they will not admit to the change. Oh, well. Goodbye Caribou Coffee.",Negative
